gRNA	gene	list	value
p33870235	CEBPG	list	181
p33870242	CEBPG	list	137
m37458583	CEBPZ	list	31
m37458596	CEBPZ	list	41
m37458628	CEBPZ	list	21
m37458637	CEBPZ	list	35
m37458671	CEBPZ	list	58
m37458697	CEBPZ	list	43
p37458615	CEBPZ	list	27
p37458658	CEBPZ	list	55
p37458683	CEBPZ	list	102
p37458689	CEBPZ	list	195
m17956626	CECR2	list	34
m17956642	CECR2	list	127
m17956679	CECR2	list	176
m17956687	CECR2	list	36
m17976438	CECR2	list	44
m17976449	CECR2	list	27
m17976458	CECR2	list	190
p17976440	CECR2	list	150
p17976460	CECR2	list	45
p17976474	CECR2	list	102
m47510416	CELF1	list	28
m47510421	CELF1	list	159
m47510450	CELF1	list	63
m47510494	CELF1	list	56
m47510502	CELF1	list	175
m47510507	CELF1	list	3
p47510481	CELF1	list	170
p47510513	CELF1	list	87
p47510522	CELF1	list	180
p47510532	CELF1	list	111
m11207496	CELF2	list	36
m11207505	CELF2	list	20
m11207513	CELF2	list	174
m11207581	CELF2	list	200
m11207591	CELF2	list	92
m11207598	CELF2	list	107
m11207610	CELF2	list	6
m11207619	CELF2	list	8
p11207452	CELF2	list	145
p11207623	CELF2	list	87
m151682251	CELF3	list	9
m151682261	CELF3	list	58
m151687072	CELF3	list	96
p151682230	CELF3	list	180
p151682235	CELF3	list	84
p151687074	CELF3	list	12
p151687083	CELF3	list	31
p151687093	CELF3	list	99
p151687104	CELF3	list	86
p151687119	CELF3	list	174
m35145485	CELF4	list	61
m35145503	CELF4	list	179
m35145514	CELF4	list	177
m35145524	CELF4	list	28
m35145541	CELF4	list	98
m35145575	CELF4	list	60
m35145591	CELF4	list	36
p35145493	CELF4	list	24
p35145531	CELF4	list	64
p35145565	CELF4	list	167
m3224738	CELF5	list	77
m3224744	CELF5	list	8
m3224806	CELF5	list	167
m3224862	CELF5	list	80
m3224904	CELF5	list	199
m3224919	CELF5	list	50
m3224926	CELF5	list	53
p3224730	CELF5	list	163
p3224747	CELF5	list	66
p3224883	CELF5	list	66
m72582520	CELF6	list	147
m72582548	CELF6	list	6
m72582556	CELF6	list	65
m72582577	CELF6	list	21
m72597091	CELF6	list	36
m72597097	CELF6	list	104
p72582512	CELF6	list	78
p72597071	CELF6	list	17
p72597081	CELF6	list	134
p72597103	CELF6	list	10
m27009072	CENPA	list	46
m27009103	CENPA	list	88
m27009157	CENPA	list	99
m27015010	CENPA	list	81
m27015053	CENPA	list	171
p27009059	CENPA	list	107
p27009075	CENPA	list	89
p27015001	CENPA	list	101
p27015012	CENPA	list	33
p27015023	CENPA	list	84
m3767034	CENPB	list	132
m3767047	CENPB	list	134
m3767069	CENPB	list	196
m3767075	CENPB	list	9
m3767088	CENPB	list	24
m3767099	CENPB	list	180
p3767038	CENPB	list	102
p3767057	CENPB	list	156
p3767078	CENPB	list	19
p3767101	CENPB	list	141
m90038099	CENPBD1	list	141
m90038170	CENPBD1	list	90
m90038197	CENPBD1	list	112
m90038223	CENPBD1	list	31
m90038248	CENPBD1	list	8
p90038081	CENPBD1	list	38
p90038091	CENPBD1	list	125
p90038233	CENPBD1	list	78
p90038239	CENPBD1	list	195
p90038291	CENPBD1	list	161
m104117330	CENPE	list	30
m104117396	CENPE	list	187
m104117938	CENPE	list	148
m104117973	CENPE	list	134
m104119422	CENPE	list	26
m104119457	CENPE	list	82
m104119465	CENPE	list	31
p104117314	CENPE	list	170
p104119431	CENPE	list	61
p104119437	CENPE	list	6
m214788311	CENPF	list	73
m214791942	CENPF	list	182
m214792012	CENPF	list	27
p214787106	CENPF	list	160
p214787171	CENPF	list	93
p214787210	CENPF	list	31
p214788209	CENPF	list	157
p214788227	CENPF	list	118
p214788269	CENPF	list	147
p214788290	CENPF	list	166
m68485477	CENPH	list	34
m68485555	CENPH	list	188
m68485585	CENPH	list	198
p68485481	CENPH	list	192
p68485488	CENPH	list	28
p68485573	CENPH	list	144
p68487645	CENPH	list	111
p68498374	CENPH	list	183
p68498741	CENPH	list	96
p68504071	CENPH	list	78
m100356135	CENPI	list	91
m100356167	CENPI	list	67
m100356209	CENPI	list	29
m100357267	CENPI	list	132
p100356070	CENPI	list	88
p100356126	CENPI	list	191
p100356241	CENPI	list	108
p100356247	CENPI	list	78
p100357369	CENPI	list	15
p100357378	CENPI	list	174
m25486925	CENPJ	list	192
m25487021	CENPJ	list	145
m25487082	CENPJ	list	61
m25487087	CENPJ	list	22
m25487106	CENPJ	list	150
m25487127	CENPJ	list	132
p25486888	CENPJ	list	75
p25486986	CENPJ	list	180
p25487093	CENPJ	list	137
p25487135	CENPJ	list	71
m64838641	CENPK	list	84
m64848321	CENPK	list	141
m64848353	CENPK	list	132
m64850631	CENPK	list	136
m64850641	CENPK	list	80
m64850724	CENPK	list	4
p64838646	CENPK	list	136
p64847406	CENPK	list	140
p64848313	CENPK	list	17
p64850690	CENPK	list	157
m173780299	CENPL	list	107
m173780335	CENPL	list	32
m173780340	CENPL	list	57
p173780265	CENPL	list	41
p173780344	CENPL	list	128
p173780366	CENPL	list	123
p173780374	CENPL	list	57
p173780384	CENPL	list	109
p173780396	CENPL	list	10
p173780416	CENPL	list	161
m42335187	CENPM	list	107
m42342463	CENPM	list	71
m42342487	CENPM	list	140
m42342495	CENPM	list	109
m42343025	CENPM	list	69
m42343037	CENPM	list	149
m42343068	CENPM	list	67
p42343008	CENPM	list	156
p42343027	CENPM	list	6
p42343040	CENPM	list	92
m81045595	CENPN	list	179
m81045669	CENPN	list	32
m81045705	CENPN	list	38
m81047771	CENPN	list	9
p81045554	CENPN	list	72
p81045600	CENPN	list	14
p81045605	CENPN	list	192
p81045657	CENPN	list	28
p81045693	CENPN	list	7
p81053709	CENPN	list	71
m25022576	CENPO	list	188
m25022591	CENPO	list	117
m25022628	CENPO	list	47
p25022601	CENPO	list	98
p25022607	CENPO	list	55
p25022620	CENPO	list	188
p25022642	CENPO	list	23
p25022663	CENPO	list	118
p25022670	CENPO	list	172
p25022675	CENPO	list	52
m95088281	CENPP	list	199
m95088354	CENPP	list	34
m95088364	CENPP	list	156
m95088380	CENPP	list	177
p95088273	CENPP	list	40
p95088306	CENPP	list	90
p95088314	CENPP	list	115
p95088327	CENPP	list	48
p95088336	CENPP	list	57
p95088344	CENPP	list	62
m49439835	CENPQ	list	51
m49439843	CENPQ	list	28
m49439859	CENPQ	list	26
m49439866	CENPQ	list	120
p49437874	CENPQ	list	88
p49437969	CENPQ	list	138
p49438719	CENPQ	list	142
p49448723	CENPQ	list	193
p49448728	CENPQ	list	128
p49448754	CENPQ	list	185
m16256617	CENPV	list	151
m16256696	CENPV	list	40
m16256711	CENPV	list	142
m16256728	CENPV	list	111
m16256738	CENPV	list	58
p16256621	CENPV	list	172
p16256636	CENPV	list	51
p16256642	CENPV	list	57
p16256648	CENPV	list	31
p16256699	CENPV	list	60
m126661435	CENPW	list	138
m126661444	CENPW	list	151
m126661474	CENPW	list	90
m126667355	CENPW	list	61
m126667399	CENPW	list	94
p126661426	CENPW	list	180
p126661502	CENPW	list	55
p126667418	CENPW	list	19
p126667430	CENPW	list	5
p126667442	CENPW	list	42
m122754054	CEP120	list	152
m122754075	CEP120	list	98
m122754086	CEP120	list	122
m122754128	CEP120	list	100
m122754143	CEP120	list	63
m122754154	CEP120	list	94
p122751760	CEP120	list	29
p122754088	CEP120	list	93
p122754101	CEP120	list	29
p122754109	CEP120	list	14
m56818364	CEP135	list	1
m56819397	CEP135	list	166
m56819430	CEP135	list	181
m56820445	CEP135	list	121
p56818355	CEP135	list	64
p56818370	CEP135	list	62
p56819258	CEP135	list	41
p56819419	CEP135	list	167
p56820448	CEP135	list	145
p56820527	CEP135	list	124
m49090150	CEP152	list	34
m49090159	CEP152	list	174
m49097761	CEP152	list	91
m49097782	CEP152	list	112
m49097824	CEP152	list	118
m49097832	CEP152	list	176
p49090168	CEP152	list	123
p49090173	CEP152	list	12
p49090178	CEP152	list	131
p49090199	CEP152	list	3
m117209318	CEP164	list	194
m117209374	CEP164	list	87
m117214899	CEP164	list	104
m117214931	CEP164	list	59
p117209287	CEP164	list	28
p117209322	CEP164	list	157
p117209362	CEP164	list	65
p117214878	CEP164	list	196
p117214886	CEP164	list	136
p117214933	CEP164	list	77
m34050191	CEP250	list	64
m34050209	CEP250	list	29
m34050232	CEP250	list	48
m34050304	CEP250	list	100
p34050239	CEP250	list	194
p34050245	CEP250	list	10
p34050263	CEP250	list	196
p34050275	CEP250	list	112
p34050289	CEP250	list	162
p34050308	CEP250	list	81
m88530543	CEP290	list	49
m88533313	CEP290	list	165
m88533319	CEP290	list	55
m88533325	CEP290	list	122
m88534734	CEP290	list	185
m88534984	CEP290	list	86
m88535066	CEP290	list	127
p88534970	CEP290	list	65
p88535005	CEP290	list	62
p88535055	CEP290	list	197
m179955346	CEP350	list	178
m179955352	CEP350	list	86
m179956373	CEP350	list	94
m179956386	CEP350	list	178
m179959676	CEP350	list	130
p179955338	CEP350	list	12
p179955354	CEP350	list	62
p179955367	CEP350	list	96
p179956393	CEP350	list	88
p179959685	CEP350	list	112
m130050983	CEP41	list	167
m130067797	CEP41	list	108
m130067804	CEP41	list	186
m130080776	CEP41	list	81
m130080787	CEP41	list	194
p130050992	CEP41	list	107
p130051004	CEP41	list	45
p130067809	CEP41	list	197
p130067818	CEP41	list	123
p130080779	CEP41	list	72
m95259818	CEP55	list	121
m95259862	CEP55	list	193
m95259872	CEP55	list	115
m95262883	CEP55	list	144
m95262955	CEP55	list	45
p95259925	CEP55	list	3
p95259931	CEP55	list	8
p95262874	CEP55	list	8
p95262904	CEP55	list	16
p95262940	CEP55	list	86
m95532413	CEP57	list	189
m95532455	CEP57	list	77
m95532470	CEP57	list	54
m95532487	CEP57	list	139
m95532511	CEP57	list	3
p95532396	CEP57	list	70
p95532404	CEP57	list	5
p95532417	CEP57	list	5
p95532530	CEP57	list	17
p95546120	CEP57	list	120
m134226076	CEP63	list	81
p134214159	CEP63	list	177
p134225962	CEP63	list	102
p134225989	CEP63	list	139
p134226078	CEP63	list	188
p134226088	CEP63	list	30
p134226103	CEP63	list	19
p134250685	CEP63	list	192
p134250724	CEP63	list	28
p134250736	CEP63	list	94
m138289877	CEP70	list	21
m138289906	CEP70	list	194
m138289939	CEP70	list	20
m138289967	CEP70	list	84
m138290151	CEP70	list	36
m138290182	CEP70	list	17
p138289293	CEP70	list	13
p138291707	CEP70	list	179
p138291715	CEP70	list	1
p138291723	CEP70	list	163
m612545	CEP72	list	112
p612462	CEP72	list	118
p612467	CEP72	list	96
p612474	CEP72	list	130
p612490	CEP72	list	59
p612496	CEP72	list	175
p612501	CEP72	list	44
p612512	CEP72	list	189
p612518	CEP72	list	183
p612535	CEP72	list	5
m12701057	CEP76	list	199
m12701101	CEP76	list	180
m12702486	CEP76	list	124
m12702534	CEP76	list	152
p12701029	CEP76	list	145
p12701060	CEP76	list	194
p12701081	CEP76	list	138
p12702477	CEP76	list	174
p12702499	CEP76	list	15
p12702512	CEP76	list	176
m80851267	CEP78	list	24
m80851279	CEP78	list	87
m80851292	CEP78	list	81
m80851318	CEP78	list	121
m80851362	CEP78	list	56
m80851375	CEP78	list	139
m80851382	CEP78	list	71
p80851328	CEP78	list	154
p80851364	CEP78	list	86
p80851398	CEP78	list	13
m26566281	CEP85	list	9
m26570662	CEP85	list	5
m26570708	CEP85	list	70
m26570724	CEP85	list	175
m26570735	CEP85	list	21
m26570744	CEP85	list	18
p26566264	CEP85	list	4
p26566283	CEP85	list	164
p26570654	CEP85	list	20
p26570666	CEP85	list	14
m101443553	CEP97	list	101
m101445484	CEP97	list	185
p101443507	CEP97	list	117
p101443516	CEP97	list	21
p101443535	CEP97	list	14
p101443541	CEP97	list	69
p101445431	CEP97	list	152
p101445436	CEP97	list	56
p101445441	CEP97	list	73
p101445457	CEP97	list	99
m111690337	CEPT1	list	70
m111690453	CEPT1	list	55
m111690459	CEPT1	list	160
m111690476	CEPT1	list	97
m111690523	CEPT1	list	10
p111690362	CEPT1	list	78
p111690463	CEPT1	list	176
p111690492	CEPT1	list	27
p111690529	CEPT1	list	178
p111690535	CEPT1	list	138
m47116873	CERK	list	113
m47133932	CERK	list	52
m47133940	CERK	list	87
m47133960	CERK	list	122
m47133972	CERK	list	142
p47116875	CERK	list	94
p47116886	CERK	list	133
p47133889	CERK	list	180
p47133988	CERK	list	183
p47133998	CERK	list	115
m182521645	CERKL	list	148
m182521675	CERKL	list	77
m182521689	CERKL	list	85
m182521696	CERKL	list	88
m182521708	CERKL	list	161
m182521721	CERKL	list	157
m182521727	CERKL	list	93
p182521605	CERKL	list	23
p182521634	CERKL	list	155
p182521712	CERKL	list	88
m150941503	CERS2	list	138
m150941524	CERS2	list	124
m150941535	CERS2	list	129
p150941407	CERS2	list	105
p150941412	CERS2	list	131
p150941437	CERS2	list	191
p150941443	CERS2	list	71
p150941463	CERS2	list	174
p150941495	CERS2	list	95
p150941538	CERS2	list	93
m101031083	CERS3	list	76
m101041968	CERS3	list	112
m101041978	CERS3	list	153
m101041991	CERS3	list	186
m101042012	CERS3	list	167
m101042023	CERS3	list	145
p101031018	CERS3	list	110
p101031052	CERS3	list	142
p101041926	CERS3	list	77
p101041980	CERS3	list	65
m8316011	CERS4	list	26
m8316069	CERS4	list	152
m8316093	CERS4	list	90
m8316106	CERS4	list	24
m8316121	CERS4	list	97
p8315961	CERS4	list	105
p8316003	CERS4	list	195
p8316021	CERS4	list	83
p8316026	CERS4	list	144
p8316111	CERS4	list	145
m50560916	CERS5	list	132
m50560923	CERS5	list	90
m50560982	CERS5	list	59
m50560995	CERS5	list	62
m50561017	CERS5	list	93
m50561063	CERS5	list	175
p50560926	CERS5	list	167
p50560932	CERS5	list	163
p50560955	CERS5	list	65
p50560987	CERS5	list	196
m169313006	CERS6	list	182
m169313019	CERS6	list	5
p169312943	CERS6	list	140
p169312956	CERS6	list	17
p169312962	CERS6	list	145
p169312971	CERS6	list	36
p169312998	CERS6	list	144
p169313023	CERS6	list	11
p169313038	CERS6	list	94
p169313044	CERS6	list	70
m151997741	CETN2	list	164
m151997746	CETN2	list	47
m151997751	CETN2	list	170
m151997804	CETN2	list	63
m151997811	CETN2	list	100
m151998147	CETN2	list	185
m151998279	CETN2	list	23
m151998288	CETN2	list	51
p151997784	CETN2	list	167
p151998224	CETN2	list	15
m89695188	CETN3	list	180
m89695245	CETN3	list	182
m89695290	CETN3	list	24
m89695351	CETN3	list	72
m89695358	CETN3	list	121
m89701535	CETN3	list	7
m89701599	CETN3	list	108
m89703637	CETN3	list	35
m89705463	CETN3	list	141
p89695315	CETN3	list	86
m65623442	CFL1	list	48
m65623616	CFL1	list	29
m65623637	CFL1	list	56
m65623703	CFL1	list	27
m65623708	CFL1	list	123
p65623445	CFL1	list	49
p65623454	CFL1	list	4
p65623468	CFL1	list	107
p65623494	CFL1	list	85
p65623689	CFL1	list	109
m35182141	CFL2	list	66
m35182153	CFL2	list	4
m35182158	CFL2	list	138
m35182577	CFL2	list	65
m35182591	CFL2	list	177
m35182600	CFL2	list	185
m35182691	CFL2	list	84
p35182454	CFL2	list	44
p35182508	CFL2	list	171
p35182522	CFL2	list	194
m88104915	CGGBP1	list	67
m88104984	CGGBP1	list	133
m88105013	CGGBP1	list	87
m88105034	CGGBP1	list	178
p88104901	CGGBP1	list	182
p88104921	CGGBP1	list	170
p88104934	CGGBP1	list	70
p88105036	CGGBP1	list	18
p88105065	CGGBP1	list	111
p88105076	CGGBP1	list	74
m27324966	CGREF1	list	18
p27324949	CGREF1	list	99
p27324956	CGREF1	list	135
p27324974	CGREF1	list	82
p27325390	CGREF1	list	131
p27325399	CGREF1	list	22
p27325435	CGREF1	list	42
p27325440	CGREF1	list	184
p27327151	CGREF1	list	72
p27327205	CGREF1	list	178
m54976676	CGRRF1	list	165
m54976769	CGRRF1	list	129
m54989190	CGRRF1	list	185
m54989292	CGRRF1	list	149
m54996778	CGRRF1	list	56
p54976664	CGRRF1	list	68
p54976743	CGRRF1	list	17
p54976748	CGRRF1	list	124
p54976754	CGRRF1	list	108
p54976759	CGRRF1	list	66
m4402805	CHAF1A	list	2
m4405911	CHAF1A	list	183
m4405940	CHAF1A	list	187
m4408902	CHAF1A	list	146
m4408910	CHAF1A	list	21
m4408947	CHAF1A	list	157
m4408994	CHAF1A	list	171
p4402759	CHAF1A	list	97
p4408915	CHAF1A	list	20
p4408999	CHAF1A	list	74
m37758462	CHAF1B	list	132
m37758480	CHAF1B	list	4
m37758499	CHAF1B	list	158
p37758441	CHAF1B	list	51
p37758451	CHAF1B	list	58
p37758469	CHAF1B	list	21
p37758491	CHAF1B	list	51
p37758508	CHAF1B	list	37
p37758518	CHAF1B	list	7
p37758523	CHAF1B	list	143
m115089331	CHAMP1	list	160
m115089347	CHAMP1	list	36
m115089412	CHAMP1	list	96
m115089511	CHAMP1	list	163
m115089528	CHAMP1	list	148
p115089310	CHAMP1	list	150
p115089337	CHAMP1	list	200
p115089362	CHAMP1	list	16
p115089437	CHAMP1	list	112
p115089443	CHAMP1	list	60
m50824633	CHAT	list	187
m50827796	CHAT	list	136
m50827810	CHAT	list	179
m50827816	CHAT	list	56
m50827823	CHAT	list	116
m50827871	CHAT	list	185
m50827898	CHAT	list	78
p50827829	CHAT	list	38
p50827840	CHAT	list	92
p50827850	CHAT	list	78
m75541880	CHCHD1	list	139
m75541890	CHCHD1	list	38
m75541902	CHCHD1	list	77
m75541911	CHCHD1	list	15
m75541946	CHCHD1	list	97
p75541831	CHCHD1	list	97
p75541861	CHCHD1	list	55
p75541935	CHCHD1	list	59
p75542075	CHCHD1	list	46
p75542084	CHCHD1	list	68
m132570441	CHCHD3	list	122
m132659957	CHCHD3	list	102
m132660026	CHCHD3	list	57
m132709307	CHCHD3	list	91
m132754903	CHCHD3	list	152
m132766633	CHCHD3	list	7
m132766691	CHCHD3	list	116
p132709298	CHCHD3	list	181
p132709310	CHCHD3	list	61
p132766613	CHCHD3	list	42
m146739163	CHD1L	list	137
m146740477	CHD1L	list	136
m146740504	CHD1L	list	88
p146737702	CHD1L	list	134
p146739133	CHD1L	list	177
p146739155	CHD1L	list	42
p146740462	CHD1L	list	41
p146740469	CHD1L	list	46
p146740486	CHD1L	list	25
p146740514	CHD1L	list	186
m93444493	CHD2	list	189
m93467561	CHD2	list	199
p93444507	CHD2	list	198
p93467553	CHD2	list	112
p93467566	CHD2	list	178
p93467577	CHD2	list	188
p93467589	CHD2	list	53
p93467602	CHD2	list	71
p93467608	CHD2	list	156
p93467614	CHD2	list	181
m7793007	CHD3	list	72
m7793043	CHD3	list	198
p7792975	CHD3	list	143
p7792994	CHD3	list	60
p7793033	CHD3	list	55
p7793046	CHD3	list	135
p7793875	CHD3	list	146
p7793885	CHD3	list	124
p7793907	CHD3	list	32
p7793924	CHD3	list	125
m6711271	CHD4	list	75
m6711318	CHD4	list	10
m6711642	CHD4	list	125
m6715481	CHD4	list	136
m6715487	CHD4	list	12
p6711273	CHD4	list	83
p6711322	CHD4	list	154
p6711572	CHD4	list	182
p6711626	CHD4	list	83
p6715489	CHD4	list	118
m6240006	CHD5	list	168
m6240028	CHD5	list	69
m6240034	CHD5	list	138
m6240047	CHD5	list	22
p6228256	CHD5	list	153
p6228263	CHD5	list	145
p6228273	CHD5	list	73
p6228318	CHD5	list	64
p6240014	CHD5	list	161
p6240051	CHD5	list	123
m40161957	CHD6	list	130
m40161973	CHD6	list	188
m40161982	CHD6	list	89
m40161988	CHD6	list	13
m40161995	CHD6	list	117
m40162067	CHD6	list	6
p40162040	CHD6	list	20
p40162051	CHD6	list	173
p40162111	CHD6	list	102
p40162156	CHD6	list	81
m61654062	CHD7	list	53
m61654090	CHD7	list	198
m61654099	CHD7	list	119
m61654117	CHD7	list	164
m61654125	CHD7	list	142
m61654136	CHD7	list	1
p61653982	CHD7	list	25
p61654042	CHD7	list	150
p61654051	CHD7	list	114
p61654105	CHD7	list	43
m21897376	CHD8	list	3
m21897387	CHD8	list	53
m21897405	CHD8	list	76
m21897416	CHD8	list	35
m21897447	CHD8	list	14
m21897472	CHD8	list	69
p21897346	CHD8	list	158
p21897358	CHD8	list	23
p21897418	CHD8	list	146
p21897451	CHD8	list	90
m53190056	CHD9	list	198
m53190091	CHD9	list	135
m53190097	CHD9	list	84
m53190142	CHD9	list	67
m53190165	CHD9	list	134
m53190181	CHD9	list	23
p53189997	CHD9	list	2
p53190070	CHD9	list	117
p53190102	CHD9	list	83
p53190151	CHD9	list	38
m125496675	CHEK1	list	11
m125497675	CHEK1	list	101
m125499131	CHEK1	list	10
m125499146	CHEK1	list	36
p125496659	CHEK1	list	1
p125496667	CHEK1	list	158
p125496686	CHEK1	list	80
p125496693	CHEK1	list	118
p125496702	CHEK1	list	91
p125497679	CHEK1	list	88
m29095892	CHEK2	list	96
m29095918	CHEK2	list	44
m29107901	CHEK2	list	87
m29107971	CHEK2	list	58
m29107982	CHEK2	list	49
m29107991	CHEK2	list	72
m29107996	CHEK2	list	117
p29095824	CHEK2	list	143
p29095857	CHEK2	list	189
p29106021	CHEK2	list	153
m133463791	CHFR	list	83
m133463808	CHFR	list	188
m133463815	CHFR	list	60
m133463837	CHFR	list	195
m133463844	CHFR	list	88
m133463908	CHFR	list	129
p133463776	CHFR	list	167
p133463796	CHFR	list	118
p133463881	CHFR	list	65
p133463894	CHFR	list	80
m89717993	CHMP1A	list	13
m89717999	CHMP1A	list	57
m89718011	CHMP1A	list	114
m89718017	CHMP1A	list	40
m89718029	CHMP1A	list	44
m89718038	CHMP1A	list	112
m89723991	CHMP1A	list	34
p89717982	CHMP1A	list	72
p89718003	CHMP1A	list	28
p89723975	CHMP1A	list	62
m11851533	CHMP1B	list	200
m11851542	CHMP1B	list	172
m11851556	CHMP1B	list	81
m11851680	CHMP1B	list	55
m11851692	CHMP1B	list	3
p11851500	CHMP1B	list	160
p11851547	CHMP1B	list	67
p11851623	CHMP1B	list	60
p11851634	CHMP1B	list	15
p11851671	CHMP1B	list	29
m87294888	CHMP2B	list	169
m87295021	CHMP2B	list	177
m87302608	CHMP2B	list	25
p87294880	CHMP2B	list	126
p87294921	CHMP2B	list	106
p87295013	CHMP2B	list	7
p87299029	CHMP2B	list	90
p87299071	CHMP2B	list	189
p87302561	CHMP2B	list	17
p87302587	CHMP2B	list	10
m86734652	CHMP3	list	8
m86734703	CHMP3	list	17
m86737482	CHMP3	list	120
m86737506	CHMP3	list	2
m86737518	CHMP3	list	61
m86756412	CHMP3	list	84
m86756422	CHMP3	list	64
p86737474	CHMP3	list	182
p86737489	CHMP3	list	136
p86737528	CHMP3	list	14
m33265084	CHMP5	list	101
m33265106	CHMP5	list	199
m33265115	CHMP5	list	26
m33265126	CHMP5	list	131
m33266106	CHMP5	list	60
m33267849	CHMP5	list	132
p33265070	CHMP5	list	156
p33266090	CHMP5	list	134
p33270644	CHMP5	list	194
p33270677	CHMP5	list	145
m41523596	CHP1	list	21
m41535870	CHP1	list	51
m41535889	CHP1	list	134
m41535906	CHP1	list	10
p41523569	CHP1	list	113
p41523587	CHP1	list	28
p41523603	CHP1	list	8
p41523615	CHP1	list	107
p41535876	CHP1	list	60
p41535915	CHP1	list	62
m23766389	CHP2	list	123
m23766987	CHP2	list	179
m23766993	CHP2	list	37
m23767021	CHP2	list	47
p23766375	CHP2	list	129
p23766412	CHP2	list	132
p23766999	CHP2	list	98
p23767006	CHP2	list	123
p23767011	CHP2	list	187
p23767032	CHP2	list	17
m141521658	CHRAC1	list	74
m141521665	CHRAC1	list	183
m141521694	CHRAC1	list	118
m141521704	CHRAC1	list	134
p141521588	CHRAC1	list	26
p141521594	CHRAC1	list	180
p141521606	CHRAC1	list	39
p141521611	CHRAC1	list	41
p141521650	CHRAC1	list	186
p141521696	CHRAC1	list	6
m838731	CHTF18	list	108
m838748	CHTF18	list	63
p838680	CHTF18	list	53
p838690	CHTF18	list	77
p838698	CHTF18	list	16
p838722	CHTF18	list	175
p838734	CHTF18	list	86
p838740	CHTF18	list	17
p838756	CHTF18	list	9
p838932	CHTF18	list	144
m69154980	CHTF8	list	44
m69154992	CHTF8	list	99
m69155001	CHTF8	list	48
m69155028	CHTF8	list	16
m69155047	CHTF8	list	75
m69155056	CHTF8	list	195
m69155061	CHTF8	list	58
m69155068	CHTF8	list	104
p69154960	CHTF8	list	160
p69155035	CHTF8	list	141
m153609107	CHTOP	list	109
m153610807	CHTOP	list	147
m153610850	CHTOP	list	61
m153610856	CHTOP	list	164
m153610874	CHTOP	list	82
m153610894	CHTOP	list	174
p153610796	CHTOP	list	191
p153610881	CHTOP	list	73
p153614735	CHTOP	list	57
p153614740	CHTOP	list	79
m101989186	CHUK	list	90
m101989211	CHUK	list	88
m101989227	CHUK	list	189
m101989232	CHUK	list	14
m101989237	CHUK	list	154
p101982703	CHUK	list	154
p101982708	CHUK	list	191
p101985671	CHUK	list	38
p101985680	CHUK	list	27
p101989199	CHUK	list	146
m57468117	CIAPIN1	list	176
m57470569	CIAPIN1	list	18
m57470589	CIAPIN1	list	130
m57473095	CIAPIN1	list	7
m57473134	CIAPIN1	list	166
m57474724	CIAPIN1	list	13
m57474733	CIAPIN1	list	149
p57468080	CIAPIN1	list	181
p57473177	CIAPIN1	list	94
p57474711	CIAPIN1	list	126
m90775497	CIB1	list	132
m90775549	CIB1	list	82
m90776913	CIB1	list	170
m90777068	CIB1	list	152
m90777089	CIB1	list	103
p90775506	CIB1	list	149
p90776901	CIB1	list	122
p90776916	CIB1	list	28
p90777054	CIB1	list	163
p90777074	CIB1	list	127
m42788878	CIC	list	162
m42788887	CIC	list	22
m42788912	CIC	list	96
m42790981	CIC	list	107
m42791008	CIC	list	24
p42788843	CIC	list	109
p42788851	CIC	list	86
p42788901	CIC	list	161
p42790914	CIC	list	112
p42790943	CIC	list	113
m12254383	CIDEA	list	121
m12254395	CIDEA	list	126
m12262828	CIDEA	list	190
m12262871	CIDEA	list	53
m12262884	CIDEA	list	34
m12262892	CIDEA	list	12
p12254374	CIDEA	list	182
p12254385	CIDEA	list	179
p12254398	CIDEA	list	102
p12262876	CIDEA	list	110
m9918859	CIDEC	list	155
m9918880	CIDEC	list	33
p9918804	CIDEC	list	67
p9918809	CIDEC	list	142
p9918850	CIDEC	list	129
p9918863	CIDEC	list	72
p9918884	CIDEC	list	63
p9920103	CIDEC	list	148
p9920110	CIDEC	list	1
p9920137	CIDEC	list	183
m102822148	CINP	list	18
m102822154	CINP	list	14
m102822190	CINP	list	144
m102825803	CINP	list	50
m102825822	CINP	list	103
m102825844	CINP	list	7
m102825914	CINP	list	155
p102825772	CINP	list	55
p102825807	CINP	list	19
p102825869	CINP	list	26
m175243697	CIR1	list	10
m175243756	CIR1	list	63
m175246496	CIR1	list	85
m175252500	CIR1	list	133
p175216415	CIR1	list	52
p175243642	CIR1	list	150
p175244920	CIR1	list	11
p175245398	CIR1	list	65
p175260282	CIR1	list	109
p175260317	CIR1	list	65
m69167382	CIRH1A	list	154
m69167421	CIRH1A	list	146
m69167442	CIRH1A	list	195
p69167355	CIRH1A	list	110
p69167392	CIRH1A	list	114
p69167406	CIRH1A	list	130
p69167433	CIRH1A	list	23
p69167452	CIRH1A	list	43
p69167460	CIRH1A	list	75
p69167493	CIRH1A	list	168
m120313878	CIT	list	165
m120313905	CIT	list	80
m120313931	CIT	list	159
m120313938	CIT	list	116
m120313948	CIT	list	154
m120313955	CIT	list	5
p120306972	CIT	list	82
p120313884	CIT	list	119
p120313894	CIT	list	196
p120313919	CIT	list	180
m71522030	CITED1	list	27
m71522051	CITED1	list	182
m71522661	CITED1	list	101
m71522681	CITED1	list	44
m71522704	CITED1	list	128
p71522033	CITED1	list	60
p71522043	CITED1	list	63
p71522063	CITED1	list	48
p71522653	CITED1	list	116
